Unnamed: 0,brand,name,year,model,seat,fuel,capacity,origin,gear,price
0,Ford,Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,SUV,7,Dầu,2.0,Nhập khẩu,Số tự động,1276000000
1,Peugeot,Peugeot 3008 GT - 2022,2022,Crossover,5,Xăng,1.6,Lắp ráp trong nước,Số tự động,1209000000
2,Kia,Kia K5 Luxury 2.0 AT - 2023,2023,Sedan,5,Xăng,2.0,Lắp ráp trong nước,Số tự động,884000000
3,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,924000000
4,Mazda,Mazda cx3 Luxury 1.5 AT - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,620000000
5,Mitsubishi,Mitsubishi Xpander Premium 1.5 AT - 2023,2023,SUV,7,Xăng,1.5,Nhập khẩu,Số tự động,648000000
6,Suzuki,Suzuki Super Carry Truck 1.0 MT - 2022,2022,Truck,2,Xăng,1.0,Lắp ráp trong nước,Số tay,249000000
7,Hyundai,Hyundai Accent 1.4 AT - 2023,2023,Sedan,5,Xăng,1.4,Lắp ráp trong nước,Số tự động,465000000
8,Hyundai,Hyundai Creta Tiêu chuẩn 1.5 AT - 2023,2023,Crossover,5,Xăng,1.5,Nhập khẩu,Số tự động,595000000
9,Mazda,Mazda BT50 1.9L 4x2 AT - 2023,2023,Bán tải / Pickup,5,Dầu,1.9,Nhập khẩu,Số tự động,789000000
10,Ford,Ford Ranger XLS 2.0L 4x2 MT - 2023,2023,Bán tải / Pickup,5,Dầu,2.2,Lắp ráp trong nước,Số tay,615000000
11,Ford,Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,Bán tải / Pickup,5,Dầu,2.0,Lắp ráp trong nước,Số tự động,900000000
12,Hyundai,Hyundai i10 1.2 AT - 2023,2023,Sedan,5,Xăng,1.25,Lắp ráp trong nước,Số tự động,409000000
