,Hãng xe,Tên xe,Giá (VNĐ),Năm sản xuất,Dòng xe,Số chỗ ngồi,Nguyên liệu,Dung tích (L),Xuất xứ,Hộp số
0,Ford, Everest Titanium 2.0L 4x2 AT - 2023,"1,276,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1,Peugeot, 3008 GT - 2022,"1,209,000,000",2022,Crossover,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
2,Kia, K5 Luxury 2.0 AT - 2023,"884,000,000",2023,Sedan,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
3,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"924,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
4,Mazda, cx3 Luxury 1.5 AT - 2023,"620,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
5,Mitsubishi, Xpander Premium 1.5 AT - 2023,"648,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
6,Suzuki, Super Carry Truck 1.0 MT - 2022,"249,000,000",2022,Truck,2 ,Xăng,1.0,Lắp ráp trong nước,Số tay
7,Hyundai, Accent 1.4 AT - 2023,"465,000,000",2023,Sedan,5 ,Xăng,1.4,Lắp ráp trong nước,Số tự động
8,Hyundai, Creta Tiêu chuẩn 1.5 AT - 2023,"595,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
9,Mazda, BT50 1.9L 4x2 AT - 2023,"789,000,000",2023,Bán tải / Pickup,5 ,Dầu,1.9,Nhập khẩu,Số tự động
10,Ford, Ranger XLS 2.0L 4x2 MT - 2023,"615,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tay
11,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"900,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
12,Hyundai, i10 1.2 AT - 2023,"409,000,000",2023,Sedan,5 ,Xăng,1.25,Lắp ráp trong nước,Số tự động
13,Kia, Sorento Luxury 2.2 AT - 2023,"1,134,000,000",2023,SUV,7 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
14,Ford, Territory Titanium 1.5 AT - 2023,"849,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
15,Ford, Ranger XLS 2.0L 4x2 AT - 2023,"688,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
16,Ford, Territory Titanium X 1.5 AT - 2023,"880,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
17,Mazda, CX5 Premium 2.0 AT - 2022,"819,000,000",2022,SUV,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
18,VinFast, VF8 Eco - 2022,"830,000,000",2022,SUV,5 ,Điện,0.2,Lắp ráp trong nước,Số tự động
19,Ford, Everest Titanium Plus 2.0L 4x4 AT - 2023,"1,440,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
20,Ford, Everest Titanium 2.0L 4x2 AT - 2023,"1,299,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
21,Mazda, CX5 Deluxe 2.0 AT - 2023,"759,000,000",2023,SUV,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
22,Honda, HRV RS - 2023,"871,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
23,Ford, Territory Titanium X 1.5 AT - 2023,"954,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
24,Toyota, Avanza Premio 1.5 AT - 2023,"598,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
25,Mitsubishi, Triton Athlete 4x4 AT - 2023,"905,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.4,Nhập khẩu,Số tự động
26,Hyundai, Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2023,"1,020,000,000",2023,Crossover,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
27,Honda, HRV RS - 2023,"871,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
28,Ford, Transit Tiêu chuẩn - 2023,"810,000,000",2023,Van/Minivan,16 ,Dầu,2.2,Lắp ráp trong nước,Số tay
29,Ford, Territory Trend 1.5 AT - 2023,"760,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
30,Ford, Territory Titanium X 1.5 AT - 2023,"860,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
31,Hyundai, i10 1.2 MT Tiêu Chuẩn - 2023,"342,000,000",2023,Sedan,5 ,Xăng,1.25,Lắp ráp trong nước,Số tay
